authors,isbn13,title
['Ballantine Books Staff'],9780345385390,Classic Reference For The Nineties!: Random House Webster's Dictionary/random House Thesaurus
['Belva Plain'],9780375431685,Her Father's House (random House Large Print)
['Margaret Truman'],9780375433450,The President's House (random House Large Print)
['Stephen Glazier'],9780375700835,Random House Webster's word menu
['Francesca Langbaum'],9780345337122,Random House Basic Dictionary French
['Random House'],9781400007165,Random House Webster's Rhyming Dictionary
['Dinah L Moche'],9780394839011,The Astronauts (random House Pictureback)
"['Mills', 'Alice (editor)']",9781858338415,The Random House Children's Treasury
['Seymour Leichman'],9780394834795,Rumpelstiltskin (a Random House Pictureback)
['Judith Krantz'],9780517581902,Dazzle (random House Large Print)
['Mario Puzo'],9780375430589,Omerta (random House Large Print)
['Dictionary'],9780679449911,Random House Compact Unabridged Dictionary
['Dean Koontz'],9780679765035,Intensity (random House Large Print)
"['Moulton', 'Jenni Karding']",9780345408099,Random House Essential German Dictionary
['Stephen Weinstein'],9780679427469,Random House  Pro Football Dictionary
['Random House'],9780073660684,Random House Webster's Concise Dictionary
['Random House'],9780073660691,Random House Webster's College Dictionary
['Lisa Gardner'],9780375434389,Alone (random House Large Print)
['Random House'],9780375407413,Random House Webster's college dictionary
['Storey (other Contributor)'],9780676571639,"Perennial 2, Random House Book"
['Chris Platt'],9780613275903,Willow King (random House Riders)
['Robert Anderson Hall'],9780345408068,Random House Essential Italian Dictionary
['Not Available'],9780375950780,Random House Board Book Assortment
['Random House'],9780375425974,Random House Webster's Everyday Dictionary
['Jerry Spinelli'],9780375861475,Milkweed (random House Reader's Circle)
['Danielle Steel'],9780739477106,Sisters (random House Large Print)
['Patrick Suppes'],9780394039640,The Random House Mathematics Program
['Lisa Gardner'],9780739325858,Gone (random House Large Print)
['Unknown'],9780768833140,Random House Dictionary 2001 Calendar
['Stuart B. Flexner'],9780394054339,The Random House College Dictionary
['Marie Gorsline'],9780394839349,Cowboys (a Random House Pictureback)
['Dorling Kindersley Ltd'],9780394838526,The Random House children's encyclopedia
['Fred Dahl'],9780679728009,Random House Personal Investment Calculator
['Ian Mcewan'],9780739377789,Solar (random House Large Print)
['Random House'],9780375425981,Random House Webster's Everyday Thesaurus
['Hephaestus Books'],9781242594410,"Articles On Random House, Including"
['Kathryn Harvey'],9780679413561,Stars (random House Large Print)
"['Geiss', 'Tony']",9780679818571,Random House Children's Encyclopedia 6cy
['Roald Dahl'],9780099365815,Matilda (Random House Modern Classics)
['Random House'],9780394535135,Random House Crossword Puzzle Dictionary
['Jess Stein'],9780394435008,The Random House College Dictionary
['Danielle Steel'],9780739327012,Sisters (random House Large Print)
['Kent Haruf'],9780375433313,Eventide (random House Large Print)
['Random House'],9780375425967,Random House Webster's College Thesaurus
['RANDOM HOUSE'],9780375425660,Random House Webster's unabridged dictionary
['Juan Kattan-Ibarra'],9780679736202,Spanish Grammar Random House USA
['Dean Koontz'],9780739328651,Breathless (random House Large Print)
['Rosemary Billam'],9780394963464,Fuzzy Rabbit (random House Pictureback)
,9780394050294,Random House Spotlight On Writing
['Random House'],9780375425738,Random House Webster's unabridged dictionary
['Margaret Fraser'],9780394575711,The Random House Microwave Cookbook
"['Geiss', 'Tony']",9780679818571,Random House Children's Encyclopedia 6cy
['Philip Roth'],9780739328118,Indignation (random House Large Print)
['Robert Anderson Hall'],9780345346032,Random House Basic Dictionary - Italian
"['Henry Hook', 'Stanley Newman']",9780812926071,"Random House $10,000 Trivia Challenge"
['Dictionary'],9780394400624,The Random House Rhyming Dictionary
['Random House'],9780345913579,Random House Power Vocabulary Builder
['James A. Michener'],9780679743293,Mexico (random House Large Print)
"['Flexner, Stuart Berg.']",9780394000442,The Random House School Dictionary
"['Esther Lewin', 'Albert E. Lewin']",9780679727002,Random House Thesaurus Of Slang
['Stephen Glazier'],9780345414410,Random House Webster's Word Menu
['Donald F. Sola'],9780345410788,Random House Essential Spanish Dictionary
